"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE(₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"SBIETFQLTY","Nifty 200 Quality 30 Index","209.00","210.66","207.27","210.32","210.60","-","0.28","0.13","3,610","0.08","210.25","257.15","191.50",5,"09-May-2024","5.98","09-Apr-2025"
"TATSILV","Tata Silver Exchange Traded Fund","9.34","9.47","9.32","9.38","9.39","-","0.01","0.11","9,97,731","0.94","9.34","10.32","7.00",5.16,"09-May-2024","15.38","09-Apr-2025"
"SETF10GILT","Nifty 10 yr Benchmark G-Sec Index","255.30","256.32","254.06","255.35","255.64","-","0.29","0.11","10,777","0.28","254.84","267.00","225.70",1.14,"09-May-2024","11.83","09-Apr-2025"
"GOLD1","Gold","81.15","81.54","80.10","81.27","81.35","-","0.08","0.10","4,90,649","3.98","81.39","84.49","58.25",7.94,"09-May-2024","33.69","09-Apr-2025"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","63.39","63.60","62.19","63.54","63.60","-","0.06","0.09","1,62,231","1.02","63.51","88.00","57.00",2.44,"09-May-2024","-0.77","09-Apr-2025"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","75.95","76.67","73.83","75.19","75.25","-","0.06","0.08","71,115","0.53","75.01","99.00","68.30",4.27,"09-May-2024","1.41","09-Apr-2025"
"ITETF","Mirae Asset Nifty IT ETF","36.94","37.12","36.57","36.93","36.96","-","0.03","0.08","7,46,878","2.76","37.05","48.05","31.00",10.69,"09-May-2024","10.13","09-Apr-2025"
"VAL30IETF","Nifty200 Value 30 Index","12.15","12.34","12.10","12.29","12.30","-","0.01","0.08","1,02,378","0.12","12.28","14.14","10.93",3.98,"-","-","09-Apr-2025"
"BSE500IETF","S&P BSE 500 index","36.57","36.87","36.21","36.72","36.75","-","0.03","0.08","1,31,125","0.48","36.70","47.60","33.00",6.29,"09-May-2024","6.94","09-Apr-2025"
"GROWWLIQID","Nifty 1D Rate Index","103.90","103.97","103.90","103.89","103.97","-","0.08","0.08","2,04,290","2.12","103.90","105.30","98.00",0.46,"-","-","09-Apr-2025"
"NEXT50","Nifty Next 50","631.00","642.70","630.00","641.30","641.73","-","0.43","0.07","83,241","5.27","639.99","899.00","573.45",3.29,"09-May-2024","-0.51","09-Apr-2025"
"LIQUIDPLUS","Nifty 1D Rate Index","1,031.74","1,031.74","1,031.72","1,031.10","1,031.74","-","0.64","0.06","1,42,288","14.68","1,031.10","1,038.75","994.83",0.49,"-","-","09-Apr-2025"
"LIQUIDBETF","Bajaj Finserv Nifty 1D Rate Liquid ETF","1,029.91","1,029.91","1,029.87","1,029.25","1,029.90","-","0.65","0.06","1,72,100","17.72","1,029.25","1,200.19","810.00",0.48,"-","-","09-Apr-2025"
"HDFCLIQUID","HDFC Nifty 1D Rate Liquid ETF","1,010.70","1,010.76","1,010.70","1,010.16","1,010.72","-","0.56","0.06","1,568","0.16","-","1,030.00","975.00",0.45,"09-May-2024","1.07","09-Apr-2025"
